model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
Baseline - sensitive features included,0.8498310983724024,0.7610221911560695,0.7303014278159704,0.5906757912745937,0.6531094821470796,0.9038501807159084
Mitigation 1 - sex and race removed,0.8511618384686253,0.7623366221015493,0.7346072186836518,0.5919589392643285,0.6556134533396495,0.903457891875284
Mitigation 2 - feature removal + reweighing,0.8438939502507933,0.7446609750681462,0.7284991568296796,0.5543199315654406,0.629584649016274,0.8972664567629262
