model,attribute,demographic_parity_difference,demographic_parity_ratio,equal_opportunity_difference,equalized_odds_difference
Baseline - sensitive features included,Sex,0.1790632542444137,0.2946322872317321,0.12856860443736629,0.12856860443736629
Baseline - sensitive features included,Race,0.09722884907643477,0.5319109388177178,0.09752812669024113,0.09752812669024113
Baseline - sensitive features included,Sex x Race,0.21948751974030534,0.17598196640316205,0.17687190857922563,0.17687190857922563
Mitigation 1 - sex and race removed,Sex,0.17248263009132575,0.31261534871353575,0.097769151331915,0.097769151331915
Mitigation 1 - sex and race removed,Race,0.08074346504128808,0.6053592235569831,0.05360071197536531,0.05360071197536531
Mitigation 1 - sex and race removed,Sex x Race,0.20449749956132654,0.21572594212651414,0.10832013514940342,0.10832013514940342
Mitigation 2 - feature removal + reweighing,Sex,0.08798257566373507,0.5844554735415428,0.108485851384586,0.108485851384586
Mitigation 2 - feature removal + reweighing,Race,0.058283374814162375,0.6941862897871606,0.02718608114019494,0.02718608114019494
Mitigation 2 - feature removal + reweighing,Sex x Race,0.12592094007720653,0.4226681918744972,0.14217279726261767,0.14217279726261767
